reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,end_date,comments,contact_person,position,email,phone,month_of_activity,abbreviation,implementing_partner,activity,transfer_value_usd
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,4,0,1,2,1,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2860,One-off,1,18.8,152.12765957446808,152.12765957446808,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,152.12765957446808
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,9,1,1,3,4,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3250,One-off,1,18.8,172.87234042553192,172.87234042553192,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,172.87234042553192
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,3,1,1,0,1,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3700,One-off,1,18.8,196.80851063829786,196.80851063829786,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,196.80851063829786
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,9,1,1,6,1,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3800,One-off,1,18.8,202.12765957446808,202.12765957446808,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,202.12765957446808
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,6,1,1,4,0,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,4440,One-off,1,18.8,236.17021276595744,236.17021276595744,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,236.17021276595744
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,7,1,1,2,3,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,4620,One-off,1,18.8,245.74468085106383,245.74468085106383,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,245.74468085106383
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,7,1,1,2,3,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,4625,One-off,1,18.8,246.01063829787233,246.01063829787233,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,246.01063829787233
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,14,1,1,5,7,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,5530,One-off,1,18.8,294.1489361702128,294.1489361702128,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,294.1489361702128
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,12,1,1,4,6,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,5720,One-off,1,18.8,304.25531914893617,304.25531914893617,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,304.25531914893617
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,4,NA,24,2,4,9,9,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2040,One-off,1,18.8,108.51063829787233,434.04255319148933,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,108.51063829787233
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,4,NA,24,4,4,10,6,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2775,One-off,1,18.8,147.6063829787234,590.4255319148936,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,147.6063829787234
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,6,1,1,4,0,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3710,One-off,1,18.8,197.3404255319149,197.3404255319149,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,197.3404255319149
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,14,1,3,6,4,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,4220,One-off,1,18.8,224.46808510638297,224.46808510638297,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,224.46808510638297
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,2,NA,11,2,2,3,4,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2640,One-off,1,18.8,140.4255319148936,280.8510638297872,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,140.4255319148936
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,8,1,1,3,3,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3100,One-off,1,18.8,164.89361702127658,164.89361702127658,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,164.89361702127658
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,9,1,1,4,3,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3520,One-off,1,18.8,187.23404255319147,187.23404255319147,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,187.23404255319147
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,2,NA,11,2,2,3,4,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2775,One-off,1,18.8,147.6063829787234,295.2127659574468,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,147.6063829787234
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,9,1,1,3,4,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2600,One-off,1,18.8,138.29787234042553,138.29787234042553,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,138.29787234042553
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,4,0,1,2,1,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2860,One-off,1,18.8,152.12765957446808,152.12765957446808,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,152.12765957446808
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,9,1,1,3,4,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3250,One-off,1,18.8,172.87234042553192,172.87234042553192,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,172.87234042553192
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,3,1,1,0,1,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3700,One-off,1,18.8,196.80851063829786,196.80851063829786,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,196.80851063829786
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,9,1,1,6,1,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3800,One-off,1,18.8,202.12765957446808,202.12765957446808,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,202.12765957446808
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,6,1,1,4,0,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,4440,One-off,1,18.8,236.17021276595744,236.17021276595744,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,236.17021276595744
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,7,1,1,2,3,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,4620,One-off,1,18.8,245.74468085106383,245.74468085106383,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,245.74468085106383
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,7,1,1,2,3,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,4625,One-off,1,18.8,246.01063829787233,246.01063829787233,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,246.01063829787233
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,14,1,1,5,7,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,5530,One-off,1,18.8,294.1489361702128,294.1489361702128,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,294.1489361702128
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,17,1,1,6,9,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,5720,One-off,1,18.8,304.25531914893617,304.25531914893617,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,304.25531914893617
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,40,NA,154,0,40,35,79,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,1970,One-off,1,18.8,104.7872340425532,4191.489361702128,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,104.7872340425532
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,3,NA,16,1,3,6,6,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2955,One-off,1,18.8,157.18085106382978,471.54255319148933,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,157.18085106382978
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,147,NA,478,0,147,104,227,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3940,One-off,1,18.8,209.5744680851064,30807.44680851064,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,209.5744680851064
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,11,NA,39,0,11,9,19,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3720,One-off,1,18.8,197.87234042553192,2176.595744680851,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,197.87234042553192
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,29,NA,106,0,29,26,51,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,4460,One-off,1,18.8,237.23404255319147,6879.787234042553,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,237.23404255319147
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,4,0,1,3,0,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2130,One-off,1,18.8,113.29787234042553,113.29787234042553,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,113.29787234042553
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,2,0,1,1,0,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,5475,One-off,1,18.8,291.2234042553191,291.2234042553191,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,291.2234042553191
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,7,NA,32,0,7,12,13,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2690,One-off,1,18.8,143.08510638297872,1001.5957446808511,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,143.08510638297872
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,2,NA,7,0,2,0,5,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,3950,One-off,1,18.8,210.1063829787234,420.2127659574468,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,210.1063829787234
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,2,NA,6,0,2,1,3,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,4865,One-off,1,18.8,258.77659574468083,517.5531914893617,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,258.77659574468083
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,21,NA,83,0,21,25,37,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,5775,One-off,1,18.8,307.1808510638298,6450.797872340425,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,307.1808510638298
Ataa Humanitarian Relief Association (ATAA),Private Fund,Completed,Aleppo,Al Bab,Al Bab,Al Bab,NA,NA,SY02,SY0202,SY020200,C1202,NA,NA,NA,village,36.369722,37.514925,Multipurpose - Repeated,HRP,1,NA,2,0,1,1,0,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,2340,One-off,1,18.8,124.46808510638297,124.46808510638297,Vulnerability-based,2023-02-01,2023-02-28,NA,Mohamad Tarek Alamin,Projects Assistant,tarek.alamin@ataarelief.org,905376113499,28-02-2023,ATAA,Ataa Humanitarian Relief Association (ATAA),Multipurpose Cash Response,124.46808510638297
